[2025-12-14 01:20:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 01:20:42] [DEBUG   ] discord.client: Dispatching event message
[2025-12-14 01:20:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages with {"content":"<@558204317572792322> saldo er 260!","components":[],"nonce":"9917143354186792208","enforce_nonce":true,"tts":false} has returned 200
[2025-12-14 01:20:42] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-14 01:20:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages has received {'type': 0, 'content': '<@558204317572792322> saldo er 260!', 'mentions': [{'id': '558204317572792322', 'username': 'jojo_superham', 'avatar': '6484e0319957cb6808f4d78975693d64', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1072384, 'global_name': 'SuperHam', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#105d00', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T00:20:42.907000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449556675530064143', 'channel_id': '1449417405788065997', 'author': {'id': '1449418966245183568', 'username': 'Bankmester Elias', 'avatar': 'c00abca3b89be341120c842d7dcf0832', 'discriminator': '3237', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9917143354186792208'}
[2025-12-14 01:20:42] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-14 01:20:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T00:20:47.135000+00:00', 'pinned': False, 'nonce': '1449556691719815168', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:07:18.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449556693263319111', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/account', 'components': [], 'channel_type': 0, 'channel_id': '1449417405788065997', 'author': {'username': 'silasduus', 'public_flags': 0, 'primary_guild': None, 'id': '697118640129966103', 'global_name': 'SilasDuus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1440174638930853950', 'expires_at': 1768507200, 'asset': 'a_82442053e3da77f379586817b2709365'}, 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906'}, 'attachments': [], 'guild_id': '1449417404068270323'}}
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event message
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event command
[2025-12-14 01:20:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T00:20:47.377000+00:00', 'pinned': False, 'nonce': '16642968539417514904', 'mentions': [{'username': 'silasduus', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:07:18.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '697118640129966103', 'global_name': 'SilasDuus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1440174638930853950', 'expires_at': 1768507200, 'asset': 'a_82442053e3da77f379586817b2709365'}, 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1449420755560435826'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:20:37.196486+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449556694278340749', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@697118640129966103> saldo er 38795!', 'components': [], 'channel_type': 0, 'channel_id': '1449417405788065997', 'author': {'username': 'Bankmester Elias', 'public_flags': 0, 'primary_guild': None, 'id': '1449418966245183568', 'global_name': None, 'display_name_styles': None, 'discriminator': '3237', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c00abca3b89be341120c842d7dcf0832'}, 'attachments': [], 'guild_id': '1449417404068270323'}}
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event message
[2025-12-14 01:20:47] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages with {"content":"<@697118640129966103> saldo er 38795!","components":[],"nonce":"16642968539417514904","enforce_nonce":true,"tts":false} has returned 200
[2025-12-14 01:20:47] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages has received {'type': 0, 'content': '<@697118640129966103> saldo er 38795!', 'mentions': [{'id': '697118640129966103', 'username': 'silasduus', 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'SilasDuus', 'avatar_decoration_data': {'asset': 'a_82442053e3da77f379586817b2709365', 'sku_id': '1440174638930853950', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T00:20:47.377000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449556694278340749', 'channel_id': '1449417405788065997', 'author': {'id': '1449418966245183568', 'username': 'Bankmester Elias', 'avatar': 'c00abca3b89be341120c842d7dcf0832', 'discriminator': '3237', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16642968539417514904'}
[2025-12-14 01:20:47] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-12-14 01:20:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T00:20:56.358000+00:00', 'pinned': False, 'nonce': '1449556730693287936', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:07:18.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449556731947651253', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '/pay jojo_superham 200', 'components': [], 'channel_type': 0, 'channel_id': '1449417405788065997', 'author': {'username': 'silasduus', 'public_flags': 0, 'primary_guild': None, 'id': '697118640129966103', 'global_name': 'SilasDuus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1440174638930853950', 'expires_at': 1768507200, 'asset': 'a_82442053e3da77f379586817b2709365'}, 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906'}, 'attachments': [], 'guild_id': '1449417404068270323'}}
[2025-12-14 01:20:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 01:20:56] [DEBUG   ] discord.client: Dispatching event message
[2025-12-14 01:20:56] [DEBUG   ] discord.client: Dispatching event command
[2025-12-14 01:20:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-14T00:20:56.648000+00:00', 'pinned': False, 'nonce': '15500295045573866943', 'mentions': [{'username': 'silasduus', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:07:18.081000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '697118640129966103', 'global_name': 'SilasDuus', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1440174638930853950', 'expires_at': 1768507200, 'asset': 'a_82442053e3da77f379586817b2709365'}, 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1449420755560435826'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-13T15:20:37.196486+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1449556733163864146', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@697118640129966103> har betalt jojo_superham 200 coins!', 'components': [], 'channel_type': 0, 'channel_id': '1449417405788065997', 'author': {'username': 'Bankmester Elias', 'public_flags': 0, 'primary_guild': None, 'id': '1449418966245183568', 'global_name': None, 'display_name_styles': None, 'discriminator': '3237', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c00abca3b89be341120c842d7dcf0832'}, 'attachments': [], 'guild_id': '1449417404068270323'}}
[2025-12-14 01:20:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-14 01:20:56] [DEBUG   ] discord.client: Dispatching event message
[2025-12-14 01:20:56] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages with {"content":"<@697118640129966103> har betalt jojo_superham 200 coins!","components":[],"nonce":"15500295045573866943","enforce_nonce":true,"tts":false} has returned 200
[2025-12-14 01:20:56] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1449417405788065997/messages has received {'type': 0, 'content': '<@697118640129966103> har betalt jojo_superham 200 coins!', 'mentions': [{'id': '697118640129966103', 'username': 'silasduus', 'avatar': 'a120459d37b8907fd9da6bc9c9c0e906', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'SilasDuus', 'avatar_decoration_data': {'asset': 'a_82442053e3da77f379586817b2709365', 'sku_id': '1440174638930853950', 'expires_at': 1768507200}, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-14T00:20:56.648000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1449556733163864146', 'channel_id': '1449417405788065997', 'author': {'id': '1449418966245183568', 'username': 'Bankmester Elias', 'avatar': 'c00abca3b89be341120c842d7dcf0832', 'discriminator': '3237', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '15500295045573866943'}
